,Fertility,Ch_mortality,Literacy,Gini,Energy_use,Gov_exp,Human_rights,Life_expectancy,Avg_years_school,Political_regime,Gdp_per_capita,Internet,Sanitation,Extreme_poverty,Electricity,Water,Subnutrition,Corruption,Taxes
Lesotho,2.95,8.590000000000002,79.36093100000001,54.2,111.47225401770784,63.85051645,0.2225541,54.331,6.3,8.0,2851.15275428862,27.36,30.3,59.6,29.7333087921143,81.8,12.8,41.0,28.165442
Liberia,4.38,7.4700000000000015,47.60014,33.2,3726.984031358553,31.614610499999998,0.978316668,64.104,4.7,6.0,752.787839463112,7.31910641139578,16.9,38.6,19.8,75.6,38.8,32.0,14.3059215
Libya,2.16,1.2400000000000002,91.38887,39.239999999999995,33496.07391102802,66.58626921,-1.9757514319999998,72.913,7.3,0.0,17881.5093512674,20.27215956269,96.6,14.12,98.5367279052735,71.2,10.18,17.0,1.192523
Lithuania,1.68,0.43,99.82328000000001,37.7,27764.0105109626,40.26541671,2.225502696,75.933,13.0,10.0,29524.264600668397,77.61525651245141,92.4,0.7,100.0,96.6,3.34,59.0,29.605807000000002
Luxembourg,1.61,0.26,100.0,31.2,76157.95665058537,49.27626239999999,5.129846482,82.25,12.1,10.0,94277.9653571589,97.82762612993722,97.6,0.2,100.0,100.0,4.699999999999999,81.0,38.708555
Macao,1.39,0.9070000000000003,96.2276,40.1,67928.42027150161,32.87441520200001,1.2793895225,84.244,5.46,1.7,104861.851096529,83.17408906882591,93.47,1.4099999999999997,100.0,95.5,11.4,64.0,28.158875
Macedonia,1.56,1.37,97.843758,35.6,14683.533125230177,32.02562541,0.8484066720000001,75.797,9.6,9.0,13111.213574425501,72.1568144676058,90.9,5.0,100.0,99.4,4.1,37.0,25.543343
Madagascar,4.02,4.420000000000001,64.65630300000001,42.7,4230.798060541273,16.72470907,-0.23040146,67.041,6.1,6.0,1416.4395072846398,9.8,12.0,77.6,22.9,51.5,43.1,25.0,11.45087
Malawi,4.38,5.54,65.963829,46.1,3149.440637703625,38.30150102,0.43562612799999995,64.263,4.5,6.0,1095.0420887580099,11.47,41.0,71.4,11.0,90.2,26.3,32.0,17.501414
Malaysia,1.98,0.79,94.636993,46.3,34512.50537109333,30.65710241,-0.21265187600000002,76.156,10.2,5.0,26808.1640645679,80.14047901039609,96.0,0.0,100.0,98.2,2.9,47.0,13.130089000000002
Maldives,1.98,0.79,99.321022,38.4,10347.159817895075,45.59444801,0.5559452570000001,78.921,6.3,2.9,15183.6163982888,59.0925899654109,97.9,7.3,100.0,98.6,11.0,31.0,19.486416000000002
Mali,5.79,10.6,33.068871,33.0,4478.839024437775,25.30659926,-1.197660938,59.306000000000004,2.3,5.0,2014.30586969334,11.1121864890589,24.7,49.7,35.0694999694824,77.0,6.0,32.0,15.164975
Malta,1.49,0.6400000000000001,94.066612,37.21,20718.896464913763,46.24047693000001,2.8031736339999997,82.53,11.3,9.4,36513.323442225,80.07137783986249,100.0,0.0,100.0,100.0,3.6799999999999997,54.0,32.699849
Martinique,1.87,1.248,94.4378348,48.37000000000001,16251.803607832244,28.338615796,1.0444413181,82.545,6.611,3.1,22879.047538581515,38.96627622498859,79.65,14.35,90.93768089294433,94.63,8.14,49.4,19.1430864
Mauritania,4.49,7.9,52.123562,32.4,3219.5405467150517,29.95406875,-0.06432388,64.925,4.5,-2.0,3597.63253011137,18.0,40.0,6.0,41.652107238769496,57.9,11.3,27.0,17.370335
Mauritius,1.42,1.31,90.616043,35.8,12925.839813979212,27.63561388,0.9581803990000001,74.991,9.3,10.0,20292.7446336139,52.191325935652294,93.1,0.5,98.7817840576172,99.9,5.8,51.0,18.695201
Mayotte,3.63,2.086,92.4834273,50.400000000000006,14773.657548687654,28.081495520000004,1.2364236452000001,79.455,6.700000000000001,2.3,15356.182428485587,40.95581915932045,66.93,17.23,83.66836479187012,93.69999999999999,16.959999999999997,52.1,18.334424700000003
Mexico,2.09,1.34,94.54559300000001,48.2,17305.64831003057,27.97363,-1.4230183859999999,75.054,8.6,8.0,17336.469071694,63.8522490942939,85.2,2.5,100.0,96.1,3.8,28.0,13.701247
Moldova,1.23,1.55,99.244392,27.0,10796.533404454003,39.80546212,0.48455235700000004,71.90100000000001,11.6,9.0,5189.97166016505,70.9999991066624,76.4,0.2,100.0,88.4,6.65,33.0,27.945003000000003
Mongolia,2.63,1.72,98.367638,32.0,21378.724903348088,45.40481814,0.47747559999999994,69.87,10.1,10.0,11840.8461179669,22.265770500756197,59.7,0.5,81.775032043457,64.4,18.7,37.0,20.360968
Montenegro,1.65,0.35000000000000003,98.719948,31.9,17890.011482607257,45.22511571,1.557095013,76.884,11.3,9.0,16409.2876960117,71.2723325399382,95.9,0.0,100.0,99.7,2.7600000000000002,45.0,36.090035
Morocco,2.38,2.33,71.710548,40.7,6432.599036566207,36.85342098,0.335490756,76.68,5.5,-4.0,7485.01295069865,61.7622120123071,76.7,1.0,100.0,85.4,3.9,43.0,21.75013
Mozambique,5.05,7.240000000000001,58.836552000000005,45.6,4972.968963172721,35.34428315,-0.087209576,60.854,3.5,5.0,1136.10256446235,17.5212390868424,20.5,62.9,24.198339462280302,51.1,30.5,23.0,20.883470000000003
Myanmar,2.15,4.86,93.09005,38.1,4324.8354315913875,20.14819018,-2.467334008,67.134,4.9,-3.0,5591.5968799618,25.07330424,79.6,6.4,57.0093841552734,80.6,10.5,29.0,6.694305
Namibia,3.24,4.420000000000001,90.820503,61.0,8857.582096438964,38.2070239,1.54286351,63.708,6.8,6.0,9541.80829205217,31.0333459383454,34.4,13.4,51.78242492675779,91.0,25.4,53.0,30.818944000000002
Nepal,2.02,3.370000000000001,64.66364300000001,32.8,4799.9857378609995,19.56251022,0.261589965,70.778,4.9,6.0,2442.80394231834,19.688763836629,45.8,15.0,90.7,91.6,9.5,31.0,20.952236
Netherlands,1.75,0.39,99.0,28.6,49230.30006157642,51.53351,3.410230213,82.28299999999999,12.2,10.0,48472.544541153096,93.1972789115646,97.7,0.0,100.0,100.0,2.9400000000000004,82.0,38.751886
New Caledonia,2.11,0.9109999999999999,96.93782,37.24,33430.6918320963,33.907368065,0.7045163021999999,77.55,9.51,2.8,29231.78972426314,74.00175279141,100.0,1.5299999999999998,100.0,98.5,11.6,50.9,19.769582200000002
New Zealand,1.96,0.53,99.0,28.159999999999997,51692.15508410039,35.45647,3.445404703,82.288,12.5,10.0,36085.842777197206,88.470186347099,99.15,0.41,100.0,100.0,3.16,87.0,32.830021
Nicaragua,2.12,1.72,82.471848,46.6,7082.7528197968795,35.57033,0.113044035,74.485,6.7,9.0,5321.44351591724,24.5718339595365,67.9,3.2,81.7967987060547,87.0,16.2,25.0,23.800556
Niger,7.07,8.450000000000001,19.1026,34.0,1753.0378517187446,19.96558739,-0.467373905,62.42,2.0,6.0,926.0001419596581,10.2243115586561,10.9,44.5,16.2172336578369,58.2,14.4,34.0,13.11558
Nigeria,5.32,10.02,59.56808100000001,43.0,8878.241608538547,30.61039636,-2.058687075,54.687,6.2,7.0,5338.45412665139,25.67,29.0,53.5,59.3,68.5,11.5,27.0,7.1707
North Korea,1.88,1.9,99.999237,46.52,5515.4005550087,31.871615515000002,-2.437614552,72.274,7.909999999999999,-10.0,6901.618338027877,0.0,81.9,39.78000000000001,39.244224548339794,99.7,43.4,14.0,15.795155599999998
Norway,1.83,0.26,100.0,26.8,67637.83920162448,46.35321,4.003323818999999,82.404,12.6,10.0,64800.0573263061,96.5085185390676,98.1,0.2,100.0,100.0,2.9,84.0,38.255196000000005
Oman,2.46,1.13,93.971649,36.220000000000006,71428.82228014925,38.42076702,0.806570325,77.861,9.5,-8.0,37960.7091885335,76.85,96.7,1.5,100.0,93.4,5.4,52.0,2.528637
Pakistan,3.29,7.490000000000001,56.440311,30.7,5634.097890263561,23.02741,-1.5810483290000001,67.273,5.2,7.0,5034.70775633353,15.5145577897414,63.5,4.0,99.1474380493164,91.4,20.5,33.0,9.988357
Palestine,2.178,2.09,96.668037,34.4,7062.526965206018,31.446708596,1.0593459000999998,74.053,9.1,4.5,4449.8983245299605,61.17838482745999,92.3,1.0,100.0,58.4,12.58,39.9,5.594661
Panama,2.43,1.6100000000000003,95.03823100000001,51.0,12550.28365111968,29.29444,2.205342238,78.506,10.2,9.0,22267.0368216362,54.0,75.0,2.2,93.4178009033203,94.7,9.2,37.0,14.892589000000001
Papua New Guinea,3.52,5.34,63.433491000000004,41.8,4551.923328122811,29.98026446,0.31711269,64.501,4.6,5.0,3823.19379963882,9.601538461538462,18.9,38.0,22.932153701782198,40.0,32.540000000000006,28.0,13.938857
Paraguay,2.4,2.1,95.53611,48.0,9172.460307261983,19.351189,0.696920668,74.25399999999999,8.4,9.0,8827.01005811482,61.0757562215797,88.6,1.7,98.4,98.0,11.2,29.0,11.013065
Peru,2.31,1.5,94.374352,44.3,8928.229018077927,20.19237,0.740837126,76.736,9.2,9.0,12236.7061519677,48.7276314608234,76.2,3.5,94.85174560546879,86.7,8.8,35.0,12.991545
Philippines,2.84,2.8100000000000005,96.618027,40.1,5538.726146302671,20.69499,-2.131015039,71.23100000000001,9.3,8.0,7599.188060403871,55.5,73.9,9.290000000000001,90.9816131591797,91.8,13.7,36.0,14.239059
Poland,1.29,0.47,99.78742199999999,32.1,28961.100653833764,46.3721,1.8155051930000001,78.73,12.3,10.0,27216.4448774425,75.98536594938321,97.2,0.42000000000000004,100.0,98.3,2.6700000000000004,60.0,33.786184999999996
Portugal,1.24,0.3700000000000001,95.428108,35.6,24791.460353254828,52.54629,1.939209809,82.04899999999999,9.2,10.0,27936.8960928735,73.7912139515729,99.7,0.5,100.0,100.0,3.65,64.0,34.43338
Puerto Rico,1.46,0.8350000000000002,93.329422,37.74,37104.98848826995,32.702870546,0.7926384199,80.104,9.706,5.0,35044.669705783504,68.64,99.3,1.69,100.0,93.6,6.69,56.4,21.715609099999998
Qatar,1.85,0.76,97.757088,38.43,215883.81615460425,31.96960605,1.671422665,80.227,9.8,-10.0,116935.600359799,94.29111815498959,98.0,1.38,100.0,100.0,5.79,62.0,4.3305
Reunion,2.24,1.777,92.3175435,50.42,13858.772014679398,27.916401703,1.2437265886000002,80.484,5.48,3.4,22480.884629504413,38.948052104928564,79.65,17.259999999999998,90.07587364196777,93.94,10.429999999999996,54.1,16.9982899
Romania,1.55,0.78,98.75702700000001,27.5,18511.09487533242,36.91435,0.9366755390000001,76.054,11.0,9.0,23313.199343185097,63.747282182248405,79.1,5.7,100.0,100.0,6.21,47.0,25.729223
Russia,1.77,0.76,99.719566,37.7,57485.642268005264,37.144233,-1.232211867,72.584,12.0,4.0,24765.953633626097,76.0081385339105,72.2,0.0,100.0,96.9,2.6,28.0,31.282231
Rwanda,3.67,3.79,71.2435,50.4,3728.522828515248,27.42494539,-0.670644255,69.024,4.1,-3.0,1854.2107908736102,20.0,61.6,56.0,29.37,76.1,36.1,56.0,13.616366000000001
Sao Tome and Principe,4.27,3.24,91.747108,30.8,3137.4424436392237,49.57557252,3.331958707,70.385,6.3,6.7,3052.7137431968604,28.0,34.7,32.3,65.4404830932617,97.1,10.2,46.0,12.095381
Saudi Arabia,2.42,0.7400000000000001,94.84236899999999,40.53,80679.992775059,35.39891551,-0.9957588279999999,75.133,9.5,-10.0,49045.4112618159,80.0757586183677,100.0,0.16999999999999998,100.0,97.0,5.5,49.0,3.3848339999999997
Senegal,4.55,4.54,55.624851,40.3,3164.313681505661,30.15218017,0.7960116220000001,67.941,3.0,7.0,2470.57958207519,25.664768041395302,47.6,38.0,64.5,78.5,11.3,45.0,15.920231
Serbia,1.63,0.5700000000000001,98.002892,29.1,21625.1579633959,46.64110501,0.8290607713,76.001,11.1,8.0,14048.8806366748,70.3308355269141,96.4,0.35,100.0,99.2,5.6,39.0,36.135177
Sierra Leone,4.17,11.05,48.4319,34.0,3005.136337735359,23.85263444,0.5403447929999999,54.696000000000005,3.5,7.0,1390.3002674848199,11.77318438,13.3,52.2,20.3,62.6,25.5,30.0,10.988466
Singapore,1.27,0.28,96.774628,36.99,59566.584215218165,17.13189794,1.7003658869999998,83.62,11.5,-2.0,85535.3832002,84.4495387806342,100.0,0.44000000000000006,100.0,100.0,4.63,85.0,14.273745000000002
Slovakia,1.6510000000000002,0.5599999999999999,99.599998,26.1,34932.61487838508,39.74269371,1.812497515,77.542,12.5,10.0,30155.1521229863,81.6256675172655,98.8,0.7,100.0,100.0,2.7,50.0,32.9519
Slovenia,1.65,0.21,99.71476,25.7,36923.76816243608,48.48536159,3.1571186160000004,81.324,12.2,10.0,31400.8395120955,78.8854263554775,99.1,0.0,100.0,99.5,2.7500000000000004,60.0,36.254333
Solomon Islands,3.69,2.06,84.099998,37.0,1509.9606442974834,51.56960437,3.757369267,72.99600000000001,5.5,8.0,2205.9232048079602,11.000902271205002,29.8,25.1,47.91914367675779,80.8,12.3,44.0,27.552445000000002
Somalia,5.98,12.72,37.799999,39.160000000000004,2529.7848240172566,48.441348825,-1.739184553,57.397,2.1,5.0,2588.9306661738456,1.88,23.5,43.17999999999999,29.890317916870103,31.7,38.02,10.0,1.571268
South Africa,2.38,3.71,94.597939,63.4,31351.383671316373,34.59851,-1.061342789,64.131,10.1,9.0,12294.8761402351,54.0,66.4,18.9,84.2,93.2,6.1,43.0,29.150621
South Korea,1.35,0.33,97.965942,31.6,62957.235572939055,22.497384,1.228568362,83.03299999999999,12.1,8.0,35938.3742161469,95.097149170151,100.0,0.2,100.0,97.6,4.569999999999999,57.0,26.899583000000003
South Sudan,4.62,9.64,31.97625,46.3,706.2456544206034,27.730788101999998,-2.592480777,57.846000000000004,4.8,0.0,1569.88834552626,6.6797280510287,6.7,42.7,8.94762802124023,58.7,38.93,13.0,10.721540899999999
Spain,1.41,0.31000000000000005,98.11451,36.0,29904.69538936,46.295120000000004,1.191515174,83.565,9.8,10.0,34272.360383819105,84.60224570165249,99.9,1.0,100.0,100.0,4.750000000000001,58.0,33.581093
Sri Lanka,2.01,0.8800000000000001,92.614166,39.2,5997.413674835108,26.84604863,-0.526460575,76.97800000000001,10.9,6.0,11669.0766785045,32.0510027436177,95.1,0.7,95.5882339477539,95.6,10.9,38.0,12.713687
Sudan,4.35,6.32,58.601318000000006,35.4,4429.562770007655,19.18314833,-2.4705964540000003,65.311,3.7,-2.0,4466.5067547565895,28.0,23.6,14.9,38.5284423828125,55.5,25.2,16.0,5.478162
Suriname,2.3,1.96,95.538986,57.6,14647.872165686034,27.89065633,1.194181517,71.682,8.5,5.0,13767.1185111168,45.4,79.2,23.4,87.1763153076172,94.8,7.6,43.0,15.462616
Swaziland,2.94,5.3900000000000015,87.470192,51.5,4321.278176864004,32.45486511,0.5590960429999999,60.193999999999996,6.5,-9.0,7738.97456607734,28.573522782768503,57.5,42.0,65.7902069091797,74.1,20.7,38.0,23.481853
Sweden,1.91,0.28,99.0,27.2,59345.396275772284,49.863368,2.83679292,82.79700000000001,12.4,10.0,46949.2830858792,96.4096452795113,99.3,0.5,100.0,100.0,3.4300000000000006,85.0,44.15605
Switzerland,1.56,0.42,99.0,32.5,34425.653518619554,33.871679,2.10741004,83.779,13.4,10.0,57410.1658575199,93.71386591012829,99.9,0.0,100.0,100.0,3.2300000000000004,85.0,28.451234999999997
Syria,2.77,2.2870000000000004,86.30393199999999,35.8,11563.5683173511,27.41704949,-2.5585829369999997,72.697,5.1,-9.0,8340.217837456785,29.425870980816523,95.7,18.569999999999997,83.30529574584959,90.1,17.91,13.0,10.538957
Taiwan,1.24,1.457,96.099998,46.33,23309.18502455203,36.424300792,2.7022075689999996,80.456,7.17,10.0,21755.408444199144,54.660745893793354,71.75999999999999,5.770000000000001,93.5322754211426,94.63000000000001,3.4,63.0,28.725940399999995
Tajikistan,3.22,3.3600000000000003,99.781052,34.0,3900.5327903696666,27.54484032,-0.6889761059999999,71.097,10.4,-3.0,2896.91285075403,20.470000000055002,95.0,4.8,100.0,73.8,13.16,25.0,19.783977
Tanzania,4.83,5.4,80.35949699999999,37.8,5529.215550440074,27.96692365,-0.255901211,65.456,5.8,3.0,2683.3040235534,13.0,15.6,49.1,32.8,55.6,32.0,36.0,11.826673
Thailand,1.44,0.95,93.983017,37.8,22906.839459043786,25.749489999999998,-1.2090872320000001,77.15,7.6,-3.0,16277.6711509397,52.8919293439676,93.0,0.0,100.0,97.8,9.0,36.0,17.301457
Timor,3.6849999999999996,4.760000000000002,64.066139,30.3,666.1483436669288,32.524000996,1.0862685970000001,69.495,4.5,8.0,6570.101619397979,25.24624959,40.6,30.3,63.394138336181605,71.9,27.2,35.0,17.4796586
Togo,4.26,7.290000000000001,66.53759000000001,43.0,5311.1209870360935,24.86778651,0.409906965,61.042,4.8,-2.0,1429.8134267459302,12.360224969290499,11.6,49.2,46.928375244140604,63.1,16.2,30.0,17.386082000000002
Trinidad and Tobago,1.72,2.6100000000000003,98.96958199999999,40.3,168015.6960796399,37.20741871,0.90690385,73.507,10.9,10.0,28763.0707623686,73.296941218486,91.5,3.4,100.0,95.1,4.9,41.0,26.147865
Tunisia,2.12,1.3,81.054192,35.8,10974.14983145949,36.57885575,0.101200869,76.699,7.2,7.0,10849.2973861625,55.5,91.6,2.0,100.0,97.7,4.9,43.0,29.614932
Turkey,2.0,1.16,95.688103,41.2,19268.623254843093,37.351279999999996,-1.62047259,77.691,8.0,3.0,25129.3406487777,64.6846176835371,94.9,0.2,100.0,100.0,5.43,41.0,24.878386
Turkmenistan,2.74,4.73,99.692932,40.8,56911.259613324764,39.105705003999994,-0.5674689070000001,68.191,9.8,-8.0,16389.023312833102,17.990324461341,62.7,51.4,100.0,60.4,5.5,20.0,20.373964
Uganda,5.32,4.9,73.809837,41.0,5424.916437076282,21.689936,-0.351118825,63.368,6.1,-1.0,1697.70651058028,21.87617046,19.1,41.6,26.7,79.0,41.4,26.0,12.676283
Ukraine,1.58,0.8800000000000001,99.764107,25.5,27149.155727055484,47.59311839,-1.219281904,72.065,11.3,4.0,7894.392925785809,53.0,95.9,0.1,100.0,96.2,3.3,32.0,32.032291
United Arab Emirates,1.7,0.91,92.986366,41.28000000000001,90356.20000271194,23.90840944,0.206362335,77.972,10.8,-8.0,67293.4827590288,94.8199225383446,97.6,0.35,100.0,99.6,2.5,70.0,12.184967
United Kingdom,1.87,0.43,99.0,34.1,32145.08807378033,48.18455,2.221622899,81.321,12.9,10.0,39753.2438934915,94.7758006318882,99.2,0.2,100.0,100.0,3.05,80.0,33.112384999999996
United States,1.9,0.66,99.0,41.0,79056.32772264755,43.727140000000006,0.23533278100000002,78.862,13.4,10.0,54225.4461231621,76.17673698284099,100.0,1.2,100.0,99.2,4.4799999999999995,71.0,27.011274
Uruguay,1.96,0.82,98.442101,41.7,16029.322050354009,35.53897,2.782269859,77.911,8.7,10.0,20551.4094200387,66.4,96.4,0.1,100.0,99.7,2.7,70.0,34.229076
Uzbekistan,2.21,2.25,99.995193,35.3,16508.526429081543,31.49705793,-0.588449175,71.725,11.5,-9.0,6253.10386034453,46.7912869407806,100.0,62.1,100.0,87.3,7.4,23.0,25.081174
Vanuatu,3.17,2.69,85.058678,37.3,1850.6226330170489,25.2799693,2.312695773,70.47399999999999,6.8,5.2,2921.90867553046,24.0,57.9,13.2,57.82,94.5,7.1,46.0,17.153035
Venezuela,2.25,3.09,95.39924599999999,46.9,26377.490872043443,41.460767,-1.434521081,72.064,10.3,4.0,16745.0219796981,60.0,94.4,10.2,99.6038360595703,93.1,11.7,18.0,20.279104999999998
Vietnam,1.94,2.09,94.514267,34.8,7617.218233458812,32.29421738,-0.373983921,75.4,8.2,-7.0,6171.8841923362,46.5,78.0,2.0,100.0,97.6,10.8,33.0,18.737607
Yemen,3.69,5.54,69.961952,36.7,3758.5030314366577,33.09941469,-2.108345997,66.125,3.0,0.0,1479.14700530618,24.579208363621103,53.3,18.8,71.64234924316409,54.9,34.4,14.0,7.038773
Zambia,4.81,6.0,85.117264,57.1,7388.882597152682,25.01366875,-0.043186178,63.886,7.0,7.0,3689.25082617978,25.5065788475702,43.9,57.5,27.219337463378896,65.4,44.5,35.0,12.970041
Zimbabwe,3.53,5.03,86.873482,43.2,8718.628485052912,35.99375193,-0.74135666,61.49,8.2,4.0,1899.7749771663398,23.11998904,36.8,21.4,38.1451377868652,76.9,46.6,22.0,27.182076000000002
